,Title,Year,Runtime,Genre,Director,Writer,Actor,MPAARating,Description,numUserRatings,numCriticRatings,numIMDBRatings,IMDBRating
56,Paths of Glory,1957,88 min,Drama,Stanley Kubrick,Stanley Kubrick (screenplay),Kirk Douglas,Approved,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",349,144,"120,274",8.5
57,Django Unchained,2012,165 min,Drama,Quentin Tarantino,Quentin Tarantino,Jamie Foxx,"Rated R for strong graphic violence throughout, a vicious fight, language and some nudity","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","1,194",765,"947,928",8.5
58,The Shining,1980,144 min,Drama,Stanley Kubrick,Stephen King (novel),Jack Nicholson,R,"A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.","1,319",253,"606,233",8.4
59,Grave of the Fireflies,1988,89 min,Animation,Isao Takahata,Akiyuki Nosaka (novel),Tsutomu Tatsumi,Unrated,A young boy and his little sister struggle to survive in Japan during World War II.,502,159,"137,152",8.5
60,WALL·E,2008,98 min,Animation,Andrew Stanton,Andrew Stanton (original story by),Ben Burtt,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","1,043",421,"713,893",8.4
61,The Dark Knight Rises,2012,164 min,Action,Christopher Nolan,Jonathan Nolan (screenplay),Christian Bale,"Rated PG-13 for intense sequences of violence and action, some sensuality and language","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","2,698",812,"1,136,646",8.5
62,American Beauty,1999,122 min,Drama,Sam Mendes,Alan Ball,Kevin Spacey,"Rated R for strong sexuality, language, violence and drug content",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"2,710",176,"817,978",8.4
63,Aliens,1986,137 min,Action,James Cameron,James Cameron (story),Sigourney Weaver,"Rated R for monster violence, and for language","The planet from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?","1,077",249,"485,773",8.4
64,Princess Mononoke,1997,134 min,Animation,Hayao Miyazaki,Hayao Miyazaki,Yôji Matsuda,Rated PG-13 for images of violence and gore,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",568,173,"219,992",8.4
65,Oldeuboi,2003,120 min,Drama,Chan-wook Park,Garon Tsuchiya (story),Min-sik Choi,"Rated R for strong violence including scenes of torture, sexuality and pervasive language","After being kidnapped and imprisoned for 15 years, Oh Dae-Su is released, only to find that he must find his captor in 5 days.",807,305,"353,722",8.4
66,Citizen Kane,1941,119 min,Drama,Orson Welles,Herman J. Mankiewicz (original screen play),Orson Welles,Approved,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.","1,224",233,"296,421",8.4
